service_id,date,exception_type
Saturday-3,20240105,1
Saturday-4,20231230,2
Saturday-4,20240106,2
Sunday-1,20231225,1
Sunday-1,20231226,1
Sunday-1,20240101,1
Sunday-1,20240102,1
Wednesday-1,20231201,1
Wednesday-1,20231215,1
Wednesday-1,20231227,2
Wednesday-1,20240103,2
Wednesday-2,20231215,1
Wednesday-2,20231227,2
Wednesday-2,20240103,2
Weekday-1,20231225,2
Weekday-1,20231226,2
Weekday-1,20240101,2
Weekday-1,20240102,2
Weekday-2,20231221,2
Weekday-2,20231222,2
Weekday-2,20231225,2
Weekday-2,20231226,2
Weekday-2,20231227,2
Weekday-2,20231228,2
Weekday-2,20231229,2
Weekday-2,20240101,2
Weekday-2,20240102,2
Weekday-2,20240103,2
Weekday-2,20240104,2
Weekday-2,20240105,2
Weekday-2,20240108,2
Weekday-2,20240109,2
Weekday-3,20231225,2
Weekday-3,20231226,2
Weekday-3,20231227,2
Weekday-3,20231228,2
Weekday-3,20231229,2
Weekday-3,20240101,2
Weekday-3,20240102,2
Weekday-3,20240103,2
Weekday-3,20240104,2
Weekday-3,20240105,2
Weekday-4,20231225,2
Weekday-4,20231226,2
Weekday-4,20231227,2
Weekday-4,20231228,2
Weekday-4,20231229,2
Weekday-4,20240101,2
Weekday-4,20240102,2
Weekday-4,20240103,2
Weekday-4,20240104,2
Weekday-4,20240105,2
Weekday-4,20240108,2
Weekday-4,20240109,2
Weekday-5,20231225,2
Weekday-5,20231226,2
Weekday-5,20231227,2
Weekday-5,20231228,2
Weekday-5,20231229,2
Weekday-5,20240101,2
Weekday-5,20240102,2
Weekday-5,20240103,2
Weekday-5,20240104,2
Weekday-5,20240105,2
Weekday-5,20240108,2
Weekday-5,20240109,2
Weekday-6,20231201,2
Weekday-6,20231225,2
Weekday-6,20231226,2
Weekday-6,20231227,2
Weekday-6,20231228,2
Weekday-6,20231229,2
Weekday-6,20240101,2
Weekday-6,20240102,2
Weekday-6,20240103,2
Weekday-6,20240104,2
Weekday-6,20240105,2
Weekday-6,20240108,2
Weekday-6,20240109,2
