route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
755-202,Weekend-1,233-75504-33300-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Weekday-1,233-75504-35100-2-44a01d29,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
76-202,Weekend-1,234-07602-64800-2-5612998f,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Weekday-1,234-07602-64800-2-dded6997,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Weekday-1,234-07602-65400-2-d55ca5c7,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Weekend-1,234-07602-65700-2-5612998f,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Weekday-1,234-07602-66000-2-dded6997,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
755-202,Weekend-1,233-75504-35100-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Sunday-1,233-75504-36900-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Saturday-1,233-75504-36900-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Weekday-1,233-75504-36900-2-609151bd,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
76-202,Weekend-1,234-07602-66600-2-5612998f,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Weekday-1,234-07602-66600-2-dded6997,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Weekday-1,234-07602-67200-2-2b0dffc4,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Weekend-1,234-07602-67500-2-5612998f,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Weekday-1,234-07602-67800-2-d194e79b,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
755-202,Sunday-1,233-75504-38700-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,ExSun-1,233-75504-38700-2-609151bd,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Sunday-1,233-75504-40500-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,ExSun-1,233-75504-40500-2-609151bd,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
76-202,Weekend-1,234-07602-68400-2-5612998f,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Weekday-1,234-07602-68400-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Weekend-1,234-07602-69300-2-5612998f,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Weekday-1,234-07602-69300-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Weekend-1,234-07602-70200-2-5612998f,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
755-202,Sunday-1,233-75504-42300-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,ExSun-1,233-75504-42300-2-609151bd,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Sunday-1,233-75504-44100-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,ExSun-1,233-75504-44100-2-609151bd,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
76-202,Weekday-1,234-07602-70200-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Weekend-1,234-07602-71400-2-5612998f,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Weekday-1,234-07602-71400-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Daily-1,234-07602-72600-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Daily-1,234-07602-73800-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Daily-1,234-07602-75000-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
755-202,Sunday-1,233-75504-45900-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,ExSun-1,233-75504-45900-2-609151bd,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Sunday-1,233-75504-47700-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,ExSun-1,233-75504-47700-2-609151bd,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
76-202,Daily-1,234-07602-76200-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Daily-1,234-07602-77400-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Daily-1,234-07602-78600-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Daily-1,234-07602-79800-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Daily-1,234-07602-81000-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Daily-1,234-07602-82200-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
755-202,Sunday-1,233-75504-49500-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,ExSun-1,233-75504-49500-2-609151bd,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Sunday-1,233-75504-51300-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Saturday-1,233-75504-51300-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
76-202,Daily-1,234-07602-83400-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Daily-1,234-07602-84600-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
76-202,Daily-1,234-07602-85800-2-9c032417,Britomart To Glen Innes Via Orakei,,1,,234-07602-1a38797e,0,0
24B-202,Weekday-1,24-02403-18000-2-9813fc2b,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Saturday-1,24-02403-18600-2-97ee6aa8,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
755-202,Weekday-1,233-75504-51300-2-609151bd,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Sunday-1,233-75504-53100-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Saturday-1,233-75504-53100-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Weekday-1,233-75504-53100-2-f1746ace,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
24B-202,Weekday-1,24-02403-19740-2-5ad119dc,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Saturday-1,24-02403-20400-2-97ee6aa8,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-21060-2-93e12b45,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Saturday-1,24-02403-22200-2-97ee6aa8,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Sunday-1,24-02403-22200-2-c300dc91,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
755-202,Weekday-1,233-75504-54300-2-f1746ace,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Sunday-1,233-75504-54900-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Saturday-1,233-75504-54900-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Weekday-1,233-75504-55500-2-44a01d29,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
24B-202,Weekday-1,24-02403-22380-2-93e12b45,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-23460-2-f4298120,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekend-1,24-02403-24000-2-fc7bf523,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-24480-2-6f8f0621,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-25380-2-c16be593,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
755-202,Sunday-1,233-75504-56700-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Saturday-1,233-75504-56700-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Weekday-1,233-75504-56700-2-f1746ace,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Weekday-1,233-75504-57900-2-f1746ace,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
24B-202,Sunday-1,24-02403-25800-2-2ce61990,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
